Date,Price,Return
2-Jan-01,1283.27,0.02
3-Jan-01,1347.56,0.05
4-Jan-01,1333.34,-0.01
5-Jan-01,1298.35,-0.03
8-Jan-01,1295.86,0.00
9-Jan-01,1300.80,0.00
10-Jan-01,1313.27,0.01
11-Jan-01,1326.82,0.01
12-Jan-01,1318.55,-0.01
16-Jan-01,1326.65,0.01
17-Jan-01,1329.47,0.00
18-Jan-01,1347.97,0.01
19-Jan-01,1342.54,0.00
22-Jan-01,1342.90,0.00
23-Jan-01,1360.40,0.01
24-Jan-01,1364.30,0.00
25-Jan-01,1357.51,0.00
26-Jan-01,1354.95,0.00
29-Jan-01,1364.17,0.01
30-Jan-01,1373.73,0.01
31-Jan-01,1366.01,-0.01
1-Feb-01,1373.47,0.01
2-Feb-01,1349.47,-0.02
5-Feb-01,1354.31,0.00
6-Feb-01,1352.26,0.00
7-Feb-01,1340.89,-0.01
8-Feb-01,1332.53,-0.01
9-Feb-01,1314.76,-0.01
12-Feb-01,1330.31,0.01
13-Feb-01,1318.80,-0.01
14-Feb-01,1315.92,0.00
15-Feb-01,1326.61,0.01
16-Feb-01,1301.53,-0.02
20-Feb-01,1278.94,-0.02
21-Feb-01,1255.27,-0.02
22-Feb-01,1252.82,0.00
23-Feb-01,1245.86,-0.01
26-Feb-01,1267.65,0.02
27-Feb-01,1257.94,-0.01
28-Feb-01,1239.94,-0.01
1-Mar-01,1241.23,0.00
2-Mar-01,1234.18,-0.01
5-Mar-01,1241.41,0.01
6-Mar-01,1253.80,0.01
7-Mar-01,1261.89,0.01
8-Mar-01,1264.74,0.00
9-Mar-01,1233.42,-0.03
12-Mar-01,1180.16,-0.04
13-Mar-01,1197.66,0.01
14-Mar-01,1166.71,-0.03
15-Mar-01,1173.56,0.01
16-Mar-01,1150.53,-0.02
19-Mar-01,1170.81,0.02
20-Mar-01,1142.62,-0.02
21-Mar-01,1122.14,-0.02
22-Mar-01,1117.58,0.00
23-Mar-01,1139.83,0.02
26-Mar-01,1152.69,0.01
27-Mar-01,1182.17,0.03
28-Mar-01,1153.29,-0.02
29-Mar-01,1147.95,0.00
30-Mar-01,1160.33,0.01
2-Apr-01,1145.87,-0.01
3-Apr-01,1106.46,-0.03
4-Apr-01,1103.25,0.00
5-Apr-01,1151.44,0.04
6-Apr-01,1128.43,-0.02
9-Apr-01,1137.59,0.01
10-Apr-01,1168.38,0.03
11-Apr-01,1165.89,0.00
12-Apr-01,1183.50,0.01
16-Apr-01,1179.68,0.00
17-Apr-01,1191.81,0.01
18-Apr-01,1238.16,0.04
19-Apr-01,1253.69,0.01
20-Apr-01,1242.98,-0.01
23-Apr-01,1224.36,-0.02
24-Apr-01,1209.47,-0.01
25-Apr-01,1228.75,0.02
26-Apr-01,1234.52,0.00
27-Apr-01,1253.05,0.01
30-Apr-01,1249.46,0.00
1-May-01,1266.44,0.01
2-May-01,1267.43,0.00
3-May-01,1248.58,-0.01
4-May-01,1266.61,0.01
7-May-01,1263.51,0.00
8-May-01,1261.20,0.00
9-May-01,1255.54,0.00
10-May-01,1255.18,0.00
11-May-01,1245.67,-0.01
14-May-01,1248.92,0.00
15-May-01,1249.44,0.00
16-May-01,1284.99,0.03
17-May-01,1288.49,0.00
18-May-01,1291.96,0.00
21-May-01,1312.83,0.02
22-May-01,1309.38,0.00
23-May-01,1289.05,-0.02
